file_name,participant_id,start,end,baseline_crossings,neg_peaks,pos_peaks,turning_point,dip
00_bounce70b1,00,13242.0,15305.0,"[13342.0, 13900.0, 14634.0, 14728.0, 15162.0]","[13633.0, 14668.0]","[14358.0, 15073.0]",14358.0,False
00_bounce70b2,00,27993.0,30160.0,"[28214.0, 28753.0, 29547.0, 29631.0, 30081.0]","[28453.0, 28518.0]","[29267.0, 29994.0]",29267.0,False
00_bounce70b3,00,16220.0,18360.0,"[16424.0, 16948.0, 18228.0]","[16660.0, 16732.0]","[17454.0, 18157.0]",17454.0,False
00_bounce70nb2,00,12066.0,14991.0,"[12226.0, 12277.0, 12414.0, 12465.0, 12511.0, 12513.0, 12516.0, 12517.0, 12582.0, 12602.0, 12802.0, 12984.0, 13030.0, 13075.0, 14855.0]",[12921.0],"[12316.0, 12555.0, 12713.0, 14047.0, 14772.0]",14047.0,False
00_bounce70nb3,00,22988.0,26160.0,"[23248.0, 23249.0, 23251.0, 23267.0, 23268.0, 23269.0, 23270.0, 23294.0, 23295.0, 23296.0, 23297.0, 23298.0, 23304.0, 23314.0, 23506.0, 23703.0, 23709.0, 23710.0, 23714.0, 23725.0, 24013.0, 24053.0, 26031.0]",[23538.0],"[23451.0, 23889.0, 23989.0, 25165.0, 25949.0]",25165.0,False
00_bounce70nb4,00,18823.0,21842.0,"[18961.0, 19475.0, 21039.0, 21182.0, 21722.0]","[19203.0, 19308.0, 21134.0]","[20805.0, 20288.0, 21652.0]",20805.0,False
00_bounce80b1,00,31704.0,34180.0,"[31958.0, 32453.0, 32486.0, 32508.0, 33307.0, 33498.0, 34063.0]","[32193.0, 33376.0]","[33020.0, 33988.0]",33020.0,False
00_bounce80b2,00,18783.0,21427.0,"[19045.0, 19666.0, 20416.0, 20665.0, 21323.0]","[19446.0, 19191.0, 20528.0]","[20151.0, 21250.0]",20151.0,False
00_bounce80b3,00,29906.0,32572.0,"[30279.0, 30618.0, 31530.0, 31783.0, 32482.0]","[30432.0, 31662.0]","[31305.0, 30749.0, 32405.0]",31305.0,False
00_bounce80nb1,00,17111.0,20876.0,"[17614.0, 17619.0, 17620.0, 17621.0, 17622.0, 17626.0, 17638.0, 17691.0, 17740.0, 17759.0, 17812.0, 17838.0, 17863.0, 18048.0, 18069.0, 18070.0, 18077.0, 18350.0, 19678.0, 19926.0, 20761.0]","[18004.0, 18199.0, 19761.0]","[19447.0, 18622.0, 20692.0]",19447.0,False
00_bounce80nb2,00,16075.0,19574.0,"[16267.0, 16307.0, 16314.0, 16452.0, 16464.0, 16519.0, 16520.0, 16529.0, 17031.0, 17196.0, 17197.0, 17199.0, 18544.0, 18736.0, 18738.0, 18740.0, 19465.0]",[18619.0],"[16818.0, 16568.0, 18262.0, 17878.0, 19386.0]",18262.0,False
00_bounce80nb3,00,17977.0,21456.0,"[18291.0, 18939.0, 20326.0, 20587.0, 21339.0]","[18509.0, 18658.0, 20463.0]","[20043.0, 19736.0, 21270.0]",20043.0,False
02_bounce70b1,02,18823.0,21109.0,"[18879.0, 19673.0, 20331.0, 20599.0, 21001.0]","[19269.0, 19507.0, 20410.0]","[20099.0, 20931.0]",20099.0,False
02_bounce70b2,02,8394.0,10651.0,"[8400.0, 8900.0, 9975.0, 9976.0, 9977.0, 10177.0, 10549.0]","[8735.0, 10061.0]","[9657.0, 9011.0, 10480.0]",9657.0,False
