Devices
1000
		FP_links - Force			FP_links - Moment			FP_links - CoP			FP_links - Raw								FP_rechts - Force			FP_rechts - Moment			FP_rechts - CoP			FP_rechts - Raw								Combined Force			Combined Moment			Combined CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	FX12	FX34	FY14	FY23	FZ1	FZ2	FZ3	FZ4	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	FX12	FX34	FY14	FY23	FZ1	FZ2	FZ3	FZ4	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V	V	V	V	V	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V	V	V	V	V	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
1	0	64.0348	-23.2423	-439.78	110195	-30877.5	24989.9	629.789	-250.568	0	60.5945	3.44025	-12.4973	35.7397	152.637	280.999	6.15763	-0.0132792	-62.1143	-9.37948	-465.381	117042	40516.4	-21708.2	87.0606	-251.497	0	-54.919	-7.19536	26.8327	-17.4532	330.065	128.446	13.8407	-6.97046	1.92045	-32.6218	-905.161	227237	317485	-12987.9	350.75	-251.046	0
1	1	63.942	-23.1646	-440.66	110325	-30990.3	25067.6	629.673	-250.364	0	60.704	3.23799	-12.5284	35.693	152.669	281.652	6.22299	0.116609	-62.3006	-9.17705	-466.067	117228	40599.4	-21693.6	87.1108	-251.526	0	-55.0277	-7.27297	26.6775	-17.5005	330.456	128.739	13.7105	-6.8389	1.64133	-32.3417	-906.727	227553	318071	-12841.2	350.791	-250.961	0
1	2	64.1135	-22.9624	-441.506	110469	-30943.2	25055.4	629.914	-250.21	0	60.7978	3.31569	-12.5904	35.5528	152.928	282.076	6.09248	0.408902	-62.5183	-9.06817	-466.424	117443	40656.1	-21687.4	87.1657	-251.795	0	-55.1055	-7.41282	26.6468	-17.5786	331.203	128.576	13.9388	-7.29438	1.5952	-32.0306	-907.93	227913	318767	-12705.7	351.092	-251.025	0
1	3	64.5344	-22.7301	-442.84	110944	-30968.1	25081	630.069	-250.529	0	60.9386	3.59576	-12.8538	35.5839	153.642	282.925	5.92929	0.344084	-62.1903	-8.86425	-466.585	117392	40512.8	-21719.8	86.8284	-251.598	0	-54.8712	-7.31908	26.709	-17.8448	330.974	128.771	14.1332	-7.29279	2.34409	-31.5944	-909.425	228336	319533	-12549.9	351.357	-251.077	0
1	4	64.7528	-22.6833	-443.524	110955	-30957	25063.3	630.202	-250.167	0	61.0325	3.72033	-12.8539	35.5372	153.805	283.121	6.02709	0.571296	-62.4721	-8.56832	-467.788	117616	40682.2	-21734.5	86.967	-251.43	0	-55.0592	-7.41281	26.5377	-17.9693	331.659	129.095	14.0352	-7.00091	2.28074	-31.2516	-911.311	228571	320192	-12549.6	351.353	-250.815	0
1	5	64.9091	-22.3731	-442.97	110976	-30928.9	25128.3	630.178	-250.527	0	61.1732	3.73592	-13.0862	35.4593	153.805	282.86	5.9293	0.37664	-62.4398	-8.50672	-467.556	117744	40673.6	-21736.1	86.9918	-251.829	0	-55.0585	-7.38132	26.4915	-17.9848	331.721	129.159	13.8729	-7.19652	2.46931	-30.8798	-910.527	228720	319824	-12269	351.252	-251.195	0
1	6	64.9405	-22.295	-444.37	111259	-31033.5	25120.1	630.163	-250.374	0	61.2046	3.73592	-13.0864	35.3814	154.194	283.708	6.02708	0.441412	-62.5965	-8.00755	-469.119	117613	40802.9	-21791.3	86.9778	-250.711	0	-55.2928	-7.30371	26.1804	-18.1728	332.21	129.159	14.3614	-6.61127	2.34399	-30.3026	-913.489	228871	320829	-12277.8	351.212	-250.546	0
1	7	65.3776	-21.9223	-446.455	111443	-31216.6	25162.3	630.079	-249.618	0	61.5172	3.86035	-13.2567	35.179	154.681	284.589	6.58173	0.603821	-62.5796	-7.94558	-468.886	117810	40863.5	-21724.6	87.1502	-251.255	0	-55.0424	-7.53726	26.2902	-18.3446	332.339	129.289	13.9694	-6.71056	2.79794	-29.8678	-915.341	229253	322166	-11907.9	351.962	-250.456	0
1	8	65.55	-21.7662	-446.226	111779	-31066.6	25184	630.379	-250.499	0	61.7207	3.82933	-13.2414	35.0076	155.167	284.622	6.06018	0.376669	-62.5642	-7.77491	-470.026	117875	40815.2	-21645.5	86.8363	-250.785	0	-55.0276	-7.53656	26.0252	-18.2503	332.729	129.58	14.3613	-6.64488	2.98579	-29.5411	-916.252	229655	322107	-11697.8	351.548	-250.646	0
