Devices
1000
		FP_links - Force			FP_links - Moment			FP_links - CoP			FP_links - Raw								FP_rechts - Force			FP_rechts - Moment			FP_rechts - CoP			FP_rechts - Raw								Combined Force			Combined Moment			Combined CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	FX12	FX34	FY14	FY23	FZ1	FZ2	FZ3	FZ4	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	FX12	FX34	FY14	FY23	FZ1	FZ2	FZ3	FZ4	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V	V	V	V	V	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V	V	V	V	V	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
1	0	121.305	-3.77617	-912.465	193416	-57966.8	31193.8	636.472	-211.971	0	104.142	17.1627	-18.5386	22.3148	296.036	532.448	49.9594	34.0215	-174.609	-27.9403	-989.053	234385	58579.4	-43287.9	59.2279	-236.979	0	-138.085	-36.5236	54.1653	-26.225	629.672	317.798	54.299	-12.7161	-53.3041	-31.7165	-1901.52	427801	639338	-14737.5	336.225	-224.979	0
1	1	121.642	-3.79355	-913.568	193523	-57977.5	31151.2	636.537	-211.832	0	104.229	17.4135	-18.5299	22.3235	296.433	532.81	50.1409	34.1839	-174.988	-28.0521	-992.064	235174	58881.9	-43338.1	59.3526	-237.055	0	-138.319	-36.6696	54.2864	-26.2343	631.894	318.607	54.3125	-12.7488	-53.3458	-31.8456	-1905.63	428697	640402	-14842.4	336.057	-224.963	0
1	2	121.582	-3.81882	-914.563	193621	-58055.4	31135.2	636.521	-211.709	0	104.255	17.3268	-18.4093	22.2282	296.577	533.354	50.2858	34.3463	-175.299	-28.1297	-995.147	235915	59216	-43413.6	59.5048	-237.065	0	-138.596	-36.7038	54.3547	-26.225	634.057	319.416	54.2796	-12.6061	-53.7178	-31.9486	-1909.71	429536	641355	-14951.6	335.839	-224.922	0
1	3	121.383	-3.87069	-916.156	193808	-58162	31168.9	636.515	-211.544	0	104.22	17.1627	-18.3836	22.2543	296.848	534.243	50.4672	34.599	-175.48	-28.337	-997.867	236539	59356.4	-43499.5	59.4834	-237.044	0	-138.689	-36.7906	54.6587	-26.3217	635.915	320.134	54.6042	-12.7874	-54.0971	-32.2076	-1914.02	430346	642504	-15040.1	335.682	-224.839	0
1	4	121.548	-4.06927	-917.205	193922	-58199.7	31195.7	636.547	-211.427	0	104.351	17.1973	-18.2888	22.3581	297.064	534.787	50.5215	34.8336	-175.645	-28.5605	-1001.39	237351	59542.8	-43560.4	59.4602	-237.022	0	-138.786	-36.859	54.898	-26.3376	638.156	321.234	54.8381	-12.8395	-54.0969	-32.6297	-1918.59	431273	643387	-15213.2	335.343	-224.786	0
1	5	121.782	-3.91346	-917.892	194107	-58171.8	31189.8	636.625	-211.47	0	104.498	17.2838	-18.3147	22.2282	297.424	535.113	50.449	34.9057	-175.791	-28.5853	-1004.95	238013	59807.2	-43611.5	59.5124	-236.841	0	-138.932	-36.859	54.9415	-26.3562	640.21	322.238	55.0004	-12.4963	-54.0092	-32.4988	-1922.84	432120	644160	-15161.2	335.004	-224.73	0
1	6	121.843	-3.70682	-919.503	194440	-58315.8	31250.8	636.579	-211.462	0	104.576	17.2664	-18.5041	22.211	297.893	536.074	50.6304	34.9057	-176.043	-28.5934	-1007.69	238482	60014.4	-43699.2	59.5564	-236.662	0	-139.097	-36.9459	55.1059	-26.5125	642.015	322.704	55.4351	-12.4634	-54.2001	-32.3003	-1927.19	432922	645351	-15043.2	334.866	-224.639	0
1	7	121.765	-3.75024	-920.989	194514	-58526.1	31286.4	636.453	-211.201	0	104.568	17.1973	-18.5299	22.2802	297.947	536.908	51.0475	35.0862	-176.301	-28.6278	-1009.92	239081	60162.1	-43685	59.5708	-236.732	0	-139.2	-37.1011	55.1217	-26.4939	643.692	323.299	55.6304	-12.6967	-54.5361	-32.378	-1930.91	433595	646328	-15023.7	334.727	-224.554	0
1	8	121.817	-3.61154	-921.877	194703	-58684.4	31211.3	636.343	-211.203	0	104.533	17.2837	-18.4955	22.107	298.145	537.507	51.265	34.9598	-176.543	-28.8893	-1012.69	239674	60328.1	-43679.1	59.5723	-236.672	0	-139.331	-37.2129	55.2269	-26.3376	645.426	324.108	55.8313	-12.6775	-54.7268	-32.5008	-1934.56	434378	646957	-14995.9	334.42	-224.535	0
