Devices
1000
		FP_links - Force			FP_links - Moment			FP_links - CoP			FP_links - Raw								FP_rechts - Force			FP_rechts - Moment			FP_rechts - CoP			FP_rechts - Raw								Combined Force			Combined Moment			Combined CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	FX12	FX34	FY14	FY23	FZ1	FZ2	FZ3	FZ4	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	FX12	FX34	FY14	FY23	FZ1	FZ2	FZ3	FZ4	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V	V	V	V	V	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V	V	V	V	V	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
1	0	42.6989	-2.11543	-353.472	-52801.7	-20330.3	-4805.06	642.484	149.38	0	19.1391	23.5598	9.76169	-7.64626	41.0185	34.3424	186.631	91.4802	-41.1034	-11.1563	-378.727	-53363.5	35977.4	3144.51	94.9956	140.902	0	-16.5641	-24.5393	3.02821	8.12809	66.1215	21.4996	86.216	204.89	1.59551	-13.2717	-732.199	-106165	263077	-3141.36	359.298	144.995	0
1	1	42.6711	-2.45971	-352.951	-52736	-20288	-4860.48	642.519	149.415	0	18.9494	23.7218	9.84809	-7.38838	41.0185	34.2354	186.379	91.3178	-40.8015	-10.9698	-378.34	-53332.1	35815.3	3218.71	94.6642	140.963	0	-16.2903	-24.5112	2.91043	8.05937	66.1607	21.3126	86.566	204.301	1.86966	-13.4295	-731.291	-106068	262593	-3363.57	359.081	145.042	0
1	2	42.8098	-1.8171	-353.596	-52812.5	-20255.9	-4768.4	642.714	149.358	0	19.1301	23.6797	9.44545	-7.62835	41.1621	34.2167	186.631	91.5866	-40.9008	-10.9417	-379.421	-53484.3	35858.6	3194.83	94.5088	140.963	0	-16.3896	-24.5112	2.89171	8.04994	66.1607	21.5582	86.7675	204.935	1.90897	-12.7587	-733.017	-106297	263120	-2845.54	358.955	145.013	0
1	3	42.6894	-2.07115	-353.113	-52912.6	-20246.8	-4834.5	642.662	149.846	0	19.0186	23.6708	9.66637	-7.59521	41.0371	33.9278	186.668	91.4802	-41.1246	-10.8729	-379.152	-53538.6	35965.7	3193.2	94.8584	141.206	0	-16.4769	-24.6477	2.89171	7.98122	66.4463	21.0281	86.9298	204.748	1.56482	-12.9441	-732.265	-106451	262898	-3091.1	359.02	145.372	0
1	4	42.5323	-2.18467	-354.048	-52738.9	-20331.6	-4938.09	642.574	148.96	0	18.7238	23.8085	9.702	-7.51733	41.0185	34.7569	186.524	91.749	-41.1531	-11.2057	-378.38	-53520.8	35649.9	3108.44	94.217	141.447	0	-16.6232	-24.5299	3.09644	8.10922	65.9143	21.2345	87.0921	204.139	1.37915	-13.3903	-732.428	-106260	263152	-3358.93	359.287	145.079	0
1	5	42.791	-1.85002	-352.739	-52625.9	-20413.8	-4863.98	642.128	149.192	0	18.9646	23.8264	9.49625	-7.64623	40.7313	34.5806	186.216	91.2114	-40.8111	-11.2531	-379.281	-53480.1	35920.1	3178.94	94.7056	141.004	0	-16.3682	-24.4429	3.05631	8.1968	66.5499	21.1313	86.969	204.63	1.9799	-13.1031	-732.02	-106106	262424	-2980.06	358.493	144.95	0
1	6	42.8959	-1.66715	-353.27	-52946.3	-20214.4	-4928.5	642.779	149.875	0	19.0006	23.8953	9.53809	-7.87094	40.9811	33.9654	186.612	91.7116	-41.1058	-11.1158	-378.704	-53358.5	35827.8	3179.01	94.6064	140.898	0	-16.4675	-24.6383	3.04694	8.06883	66.2196	21.3963	86.6639	204.424	1.79013	-12.7829	-731.974	-106305	262902	-2916.5	359.169	145.23	0
1	7	42.5606	-2.06204	-352.642	-52818.9	-20082.1	-4819.74	643.052	149.78	0	19.0006	23.5599	9.68416	-7.62212	41.0185	33.8903	186.09	91.6426	-41.2213	-10.7548	-378.321	-53402.6	35752	3138.26	94.5018	141.157	0	-16.6232	-24.5982	2.84223	7.91253	66.0179	21.2931	86.7674	204.242	1.33921	-12.8168	-730.963	-106221	262519	-3124.9	359.142	145.317	0
1	8	42.9296	-1.91002	-353.844	-52826.3	-20116.4	-4796.73	643.149	149.293	0	19.139	23.7906	9.49628	-7.58626	41.4492	34.0347	186.593	91.7677	-41.1628	-10.9821	-378.709	-53533.3	35771.2	3108.55	94.4556	141.357	0	-16.7104	-24.4523	2.88233	8.09975	65.9983	21.2736	86.9297	204.508	1.76684	-12.8921	-732.554	-106360	263346	-3025.19	359.49	145.19	0
