frame,subframe,left_force_Fx,left_force_Fy,left_force_Fz,right_force_Fx,right_force_Fy,right_force_Fz,left_force,right_force,combined_force
1823,4,158.739,-9.80513,-971.372,-165.855,-16.9028,-996.906,984.3057315079075,1010.7498001527579,1995.0555316606653
1823,5,158.878,-9.79408,-971.247,-166.073,-16.6958,-995.849,984.2046930877979,1009.739680248152,1993.9443733359499
1823,6,158.657,-9.55771,-971.829,-165.984,-16.9965,-996.36,984.7410820669787,1010.2340416300818,1994.9751236970606
1823,7,158.728,-9.27324,-970.901,-165.681,-17.0355,-997.254,983.8339914665977,1011.0667349573173,1994.9007264239149
1823,8,158.657,-9.54594,-971.056,-165.533,-16.3848,-996.708,983.9781114209217,1010.4931830665855,1994.4712944875073
1823,9,158.732,-9.03689,-971.042,-165.552,-16.6845,-998.095,983.9715844316197,1011.8692930755682,1995.840877507188
1824,0,158.728,-9.24846,-970.719,-165.917,-16.7439,-998.08,983.6541510903982,1011.9152610155705,1995.5694121059687
1824,1,158.646,-9.03233,-970.545,-165.847,-16.4479,-997.796,983.4671999239368,1011.6188108370712,1995.086010761008
1824,2,158.504,-9.16069,-970.102,-165.909,-16.4597,-998.265,983.008304472183,1012.0917587996111,1995.1000632717942
1824,3,158.657,-8.70709,-970.547,-165.687,-16.656,-998.435,983.468014870981,1012.2262857335804,1995.6943006045615
1824,4,158.721,-8.55204,-970.051,-165.696,-16.1396,-998.722,982.9875054293221,1012.5024861145577,1995.4899915438798
1824,5,158.48,-8.40236,-969.394,-165.851,-16.1995,-998.242,982.2989551504011,1012.0553683298409,1994.3543234802419
1824,6,158.12,-8.39249,-968.653,-165.995,-15.9372,-997.965,981.5095530342026,1011.801598928288,1993.3111519624904
1824,7,158.412,-8.17586,-969.435,-165.921,-16.5743,-998.597,982.326537183914,1012.4230608152354,1994.7495979991495
1824,8,158.263,-8.29001,-969.559,-165.921,-15.9891,-998.891,982.425852630009,1012.703638504775,1995.129491134784
1824,9,158.265,-7.55014,-968.794,-165.902,-16.1407,-998.606,981.6652327932468,1012.4218187279895,1994.0870515212364
1825,0,158.345,-7.6246,-969.064,-165.554,-16.2006,-999.132,981.9451663133538,1012.8846626247038,1994.8298289380575
