frame,subframe,left_force_Fx,left_force_Fy,left_force_Fz,right_force_Fx,right_force_Fy,right_force_Fz,left_force,right_force,combined_force
1591,4,154.506,-2.05658,-1024.83,-160.799,7.54349,-1077.62,1036.41346115211,1089.5770220789257,2125.990483231036
1591,5,154.626,-2.01642,-1025.28,-161.052,7.38787,-1077.46,1036.8762434474118,1089.4550834830857,2126.331326930497
1591,6,154.938,-1.64547,-1025.48,-161.072,7.32989,-1078.15,1037.119916796279,1090.140054750495,2127.259971546774
1591,7,154.662,-1.82461,-1025.48,-160.935,7.0375,-1077.95,1037.0790200585739,1089.9200902503128,2126.999110308887
1591,8,154.665,-1.7444,-1024.5,-161.072,6.76551,-1079.0,1036.1103006709081,1090.9770672702336,2127.0873679411416
1591,9,154.585,-1.7454,-1024.18,-161.071,6.9415,-1080.01,1035.7819466693556,1091.9769464431242,2127.75889311248
1592,0,154.547,-1.8228,-1024.3,-161.402,6.66885,-1080.1,1035.8950660220562,1092.1131302041572,2128.0081962262134
1592,1,154.488,-1.78336,-1024.46,-161.459,6.55174,-1079.93,1036.0444074058264,1091.952718242886,2127.9971256487124
1592,2,154.352,-1.58925,-1024.99,-161.382,6.49338,-1080.87,1036.547908067718,1092.8706560283447,2129.4185640960627
1592,3,154.431,-1.47289,-1025.4,-161.537,6.29893,-1082.77,1036.9649286094261,1094.7715523286788,2131.736480938105
1592,4,154.763,-1.68768,-1024.87,-161.829,6.06596,-1082.69,1036.490690422631,1094.7342404491244,2131.2249308717555
1592,5,154.506,-1.70549,-1024.91,-162.023,6.1246,-1082.85,1036.4919299406727,1094.9214975303753,2131.4134274710477
1592,6,154.45,-1.39273,-1024.75,-161.828,6.33937,-1083.46,1036.324903057363,1095.4971751656858,2131.8220782230487
1592,7,154.352,-1.41506,-1025.53,-161.692,6.22217,-1084.11,1037.0816376731407,1096.1192956806792,2133.20093335382
1592,8,154.666,-1.21921,-1025.44,-161.847,6.10534,-1085.25,1037.039175551736,1097.2690140004481,2134.308189552184
1592,9,154.311,-1.37683,-1025.07,-162.08,6.31993,-1086.3,1036.6206081695698,1098.3430966301946,2134.9637047997644
1593,0,154.393,-1.1604,-1025.48,-162.488,6.27958,-1087.27,1037.037981646362,1099.3624680554528,2136.400449701815
1593,1,154.47,-0.947438,-1025.15,-162.371,6.1249,-1088.49,1036.7229143019672,1100.5509239199293,2137.2738382218968
1593,2,154.588,-0.674805,-1025.36,-162.294,6.49542,-1088.69,1036.9479421387498,1100.7395009796717,2137.6874431184215
1593,3,154.39,-1.00852,-1025.48,-162.294,6.33975,-1090.35,1037.037376188819,1102.380450373673,2139.4178265624923
1593,4,154.55,-1.20111,-1025.23,-162.643,6.47538,-1090.92,1036.8142061455524,1102.9964290038045,2139.810635149357
1593,5,154.391,-0.752316,-1025.52,-162.643,6.78636,-1090.68,1037.0768617900815,1102.7609271873255,2139.837788977407
1593,6,154.196,-0.950043,-1026.14,-162.837,6.69006,-1091.45,1037.6611241622682,1103.5505189939443,2141.2116431562126
1593,7,153.922,-0.947668,-1025.07,-162.973,7.04038,-1092.1,1036.5622919336001,1104.2156382154458,2140.777930149046
1593,8,153.964,-0.733374,-1025.89,-162.992,7.35215,-1093.07,1037.379266822614,1105.1798365305178,2142.559103353132
1593,9,154.12,-0.618024,-1025.56,-163.225,7.11864,-1093.84,1037.076019370646,1105.9742407761807,2143.050260146827
1594,0,153.923,-0.657544,-1025.56,-163.478,7.19557,-1094.73,1037.0467857783042,1106.892318887264,2143.9391046655683
1594,1,153.905,-0.442705,-1025.64,-163.303,7.77943,-1095.7,1037.123114491581,1107.829806125528,2144.952920617109
1594,2,153.924,-0.365061,-1025.89,-163.051,7.83835,-1094.85,1037.3731359282126,1106.9523886923603,2144.3255246205727
