frame,subframe,left_force_Fx,left_force_Fy,left_force_Fz,right_force_Fx,right_force_Fy,right_force_Fz,left_force,right_force,combined_force
1712,1,67.9409,-5.0954,-499.73,-77.5422,2.92963,-654.047,504.35305282507215,658.6340818100571,1162.9871346351292
1712,2,67.8529,-5.20628,-498.969,-77.552,2.95934,-654.088,503.58830839371996,658.6760828671673,1162.2643912608874
1712,3,67.8416,-5.41736,-500.018,-77.2039,2.92864,-654.046,504.6284086374147,658.5933413142435,1163.2217499516582
1712,4,67.6739,-5.28235,-500.362,-77.214,2.91492,-654.272,504.9453346717172,658.8189042055536,1163.7642388772708
1712,5,67.6634,-5.35131,-500.341,-77.16,3.11491,-654.279,504.9238442570088,658.8204445107241,1163.744288767733
1712,6,67.596,-5.37135,-499.826,-77.0925,3.08436,-654.617,504.40469951500506,659.1480740485097,1163.5527735635146
1712,7,67.4513,-5.28411,-499.902,-77.2246,3.02657,-654.399,504.4597201900089,658.9467733983716,1163.4064935883805
1712,8,67.2386,-5.36256,-500.412,-77.3264,3.06056,-653.996,504.93757646239163,658.5586588759377,1163.4962353383294
1712,9,67.1061,-5.52911,-500.295,-77.2384,3.23689,-654.432,504.80579111139576,658.9821625168864,1163.7879536282821
1713,0,67.196,-5.53929,-499.501,-77.1265,3.10829,-654.715,504.0309863001521,659.2494897184025,1163.2804760185545
1713,1,67.3515,-5.65152,-499.109,-77.0926,3.0802,-654.624,503.66452933630376,659.1550181731153,1162.819547509419
1713,2,67.194,-5.60593,-499.178,-76.8732,3.21525,-654.736,503.71136156648765,659.2412732883178,1162.9526348548054
1713,3,66.8939,-5.60766,-499.179,-76.66,3.30324,-654.418,503.6724270286051,658.9010439500742,1162.5734709786793
1713,4,66.9725,-5.84024,-498.712,-76.7579,3.10674,-654.34,503.22269732545607,658.8340175232588,1162.0567148487148
1713,5,66.7475,-5.80557,-498.738,-76.991,2.94733,-654.551,503.2181694288024,659.070036063034,1162.2882054918364
1713,6,66.8846,-5.61761,-499.389,-77.0928,3.28911,-654.094,503.8794305985035,658.6296978518598,1162.5091284503633
1713,7,67.0053,-5.5517,-499.479,-76.8294,3.61391,-654.107,503.98393133311305,658.6135319736819,1162.597463306795
1713,8,67.096,-5.77441,-498.686,-76.9333,3.50582,-654.206,503.2126226783745,658.7233970785936,1161.936019756968
1713,9,66.9483,-6.02864,-499.039,-76.9946,3.36987,-653.882,503.5457704063649,658.4080758746636,1161.9538462810285
1714,0,66.8942,-5.78343,-498.825,-76.7279,3.5018,-653.832,503.3236162561865,658.3279710491192,1161.6515873053058
1714,1,67.0279,-5.55164,-498.295,-76.67,3.51529,-653.17,502.8135510406413,657.6638161430078,1160.4773671836492
1714,2,67.1172,-5.68486,-498.176,-76.9231,3.44701,-653.246,502.709024332227,657.7684864050193,1160.4775107372463
1714,3,67.2727,-5.7402,-498.13,-76.8732,3.49053,-653.922,502.6848545175496,658.4342448277739,1161.1190993453235
1714,4,67.2947,-5.84125,-498.481,-76.8796,3.61203,-654.155,503.03678216473645,658.6670507030702,1161.7038328678068
1714,5,67.2612,-6.02963,-498.222,-76.8392,3.85573,-653.951,502.7778701846143,658.4611148059337,1161.238984990548
1714,6,67.2611,-5.96177,-497.78,-76.6601,4.07992,-653.739,502.3390554941382,658.231036035385,1160.5700915295233
1714,7,67.2615,-5.86276,-497.524,-76.7142,4.05877,-653.464,502.08426774105124,657.9640882233261,1160.0483559643774
1714,8,67.395,-5.81906,-497.571,-76.8257,3.90245,-653.436,502.1482326218859,657.948344015313,1160.0965766371987
1714,9,67.4495,-5.78616,-497.43,-76.8157,4.01031,-653.209,502.01545752874546,657.7223821900742,1159.7378397188197
1715,0,67.4609,-5.91966,-497.035,-76.6943,4.18903,-653.292,501.627158981973,657.7917610375117,1159.4189200194846
1715,1,67.5391,-6.01927,-497.175,-76.7143,4.31112,-653.301,501.7775824657205,657.8038204367199,1159.5814029024405
1715,2,67.6615,-5.97502,-496.544,-76.6504,4.29094,-652.723,501.168358321084,657.2221928048714,1158.3905511259554
1715,3,67.4597,-6.07565,-496.106,-76.5929,4.66212,-652.532,500.70838607218525,657.0283241362616,1157.7367102084468
1715,4,67.4835,-6.04197,-496.15,-76.5832,4.91262,-652.968,500.754780979404,657.4620364564819,1158.2168174358858
1715,5,67.6501,-6.12108,-496.267,-76.4614,4.88755,-653.525,500.89413945401316,658.0008810480139,1158.895020502027
1715,6,67.5156,-6.03094,-495.286,-76.3059,5.1848,-653.188,499.9029408561662,657.6503903061641,1157.5533311623303
1715,7,67.6835,-5.95389,-494.919,-76.1505,5.34432,-652.945,499.56112893156734,657.3922979709395,1156.9534269025069
1715,8,67.7496,-6.10973,-494.984,-76.2582,5.57301,-652.995,499.63636512651163,657.4563419214238,1157.0927070479354
1715,9,67.6945,-6.132,-494.402,-76.2181,5.68838,-653.289,499.05258676641483,657.7446875160866,1156.7972742825013
1716,0,67.5933,-6.1884,-493.844,-76.1269,5.57603,-654.12,498.48675693086375,658.5585557975622,1157.0453127284259
1716,1,67.4033,-6.21001,-493.727,-76.2047,5.76132,-653.995,498.3453818428441,658.4449932494227,1156.790375092267
1716,2,67.5601,-6.22103,-493.516,-76.1509,6.1066,-653.48,498.1577165740494,657.9303614626475,1156.088078036697
1716,3,67.6376,-6.21036,-493.401,-75.9957,6.06645,-653.959,498.05417406753014,658.38782029674,1156.4419943642702
1716,4,67.5709,-6.35539,-492.817,-75.9278,6.06166,-653.468,497.4684040196544,657.8922416010054,1155.3606456206599
1716,5,67.6159,-6.31041,-492.703,-75.9279,6.29456,-653.766,497.36101316466096,658.1904361505137,1155.5514493151748
1716,6,67.559,-6.17844,-492.236,-76.0155,6.65924,-654.177,496.8889929328618,658.6123663025373,1155.5013592353991
1716,7,67.5365,-6.09001,-491.585,-75.9956,6.73094,-654.808,496.23994123715,659.2375547832842,1155.477496020434
1716,8,67.4808,-6.1121,-491.423,-75.884,6.84889,-655.515,496.07215308264387,659.9281809221607,1156.0003340048045
1716,9,67.3693,-6.13384,-490.981,-75.7625,6.97447,-654.965,495.6193992739142,659.3692067901192,1154.9886060640333
1717,0,67.47,-6.41244,-490.702,-75.5197,6.98361,-654.815,495.36024577145224,659.1924454373868,1154.552691208839
