frame,subframe,left_force_Fx,left_force_Fy,left_force_Fz,right_force_Fx,right_force_Fy,right_force_Fz,left_force,right_force,combined_force
1570,8,154.608,-13.0619,-912.886,-173.807,6.09931,-1202.94,925.9779132849822,1215.4467155871032,2141.424628872085
1570,9,154.531,-13.1356,-912.728,-174.009,6.11769,-1202.83,925.8103347513247,1215.3668446654021,2141.177179416727
1571,0,154.531,-12.5982,-913.541,-173.739,6.40586,-1203.43,926.6043941646511,1215.9235338060284,2142.5279279706797
1571,1,154.453,-12.9853,-914.025,-174.06,6.32031,-1203.26,927.0739171447387,1215.8007474576152,2142.8746646023537
1571,2,154.377,-13.1381,-913.701,-173.314,6.10029,-1203.0,926.7439696062823,1215.4357062938723,2142.1796759001545
1571,3,154.607,-12.9074,-913.537,-173.117,6.09928,-1203.75,926.6173837095655,1216.149974059745,2142.7673577693104
1571,4,154.297,-13.0625,-913.223,-173.487,6.09485,-1203.62,926.258301363205,1216.074007108746,2142.332308471951
1571,5,154.221,-13.2931,-914.031,-173.547,6.02211,-1203.94,927.0455718623599,1216.3989274156124,2143.444499277972
1571,6,154.371,-13.0634,-914.523,-173.319,6.02065,-1204.21,927.5523573306037,1216.6336540172733,2144.186011347877
1571,7,153.676,-13.3705,-915.162,-173.186,6.03507,-1203.57,928.0714247784218,1215.9813146450501,2144.052739423472
1571,8,153.986,-13.0599,-914.352,-173.396,6.26002,-1203.11,927.319701660657,1215.5570874156426,2142.8767890762997
1571,9,153.985,-12.8304,-913.708,-173.237,6.33316,-1203.14,926.6813414832307,1215.5644889040589,2142.2458303872895
1572,0,153.831,-13.0608,-914.035,-173.026,6.33713,-1203.65,926.981414205614,1216.039258573767,2143.020672779381
1572,1,153.987,-12.9094,-914.362,-173.172,6.41534,-1204.48,927.3276205426861,1216.8819862958428,2144.209606838529
1572,2,153.985,-13.3714,-915.164,-173.154,6.4811,-1202.98,928.1246260384216,1215.3950768261363,2143.519702864558
1572,3,153.909,-13.1411,-914.035,-172.857,6.31593,-1203.45,926.995496221643,1215.8171474036567,2142.8126436252996
1572,4,153.984,-13.373,-914.355,-172.805,6.03546,-1203.79,927.3267899775138,1216.1448757867672,2143.471665764281
1572,5,153.595,-13.4487,-914.522,-173.176,6.25457,-1204.25,927.4280457483966,1216.654063044169,2144.0821087925656
