frame,subframe,left_force_Fx,left_force_Fy,left_force_Fz,right_force_Fx,right_force_Fy,right_force_Fz,left_force,right_force,combined_force
1569,8,184.205,-19.5505,-844.366,-191.592,-4.31363,-844.769,864.4464390760425,866.2336666447321,1730.6801057207745
1569,9,184.43,-19.4637,-843.53,-191.275,-4.10479,-844.65,863.6759354165716,866.0465330604032,1729.7224684769749
1570,0,184.108,-19.2884,-843.736,-191.41,-4.45952,-844.706,863.8045124532285,866.1327276200977,1729.9372400733264
1570,1,184.177,-19.016,-844.121,-191.41,-4.07961,-844.098,864.1892375087763,865.5379049595414,1729.7271424683177
1570,2,183.717,-18.9585,-843.634,-191.319,-3.84962,-843.838,863.6143159809534,865.2631678160953,1728.8774837970486
1570,3,183.777,-18.5218,-842.288,-190.7,-4.1009,-843.937,862.3027993392112,865.22422952077,1727.5270288599813
1570,4,183.259,-18.3166,-842.897,-190.593,-3.95442,-843.739,862.783119634106,865.0068376651924,1727.7899572992983
1570,5,183.444,-18.2782,-843.08,-190.322,-3.8056,-844.301,863.0003940504547,865.4947283931659,1728.4951224436206
1570,6,183.326,-18.0149,-842.388,-190.322,-3.28428,-844.133,862.2937442901984,865.3287074101486,1727.622451700347
1570,7,183.462,-17.9867,-842.613,-190.261,-3.44044,-843.154,862.5418799049064,864.3608924890075,1726.902772393914
1570,8,183.405,-17.3057,-843.122,-189.835,-3.5449,-844.119,863.0130869004768,865.2090959427148,1728.2221828431916
1570,9,183.043,-17.2681,-842.811,-189.67,-3.31127,-843.893,862.6316182749216,864.951483528419,1727.5831018033405
1571,0,183.356,-16.9668,-843.447,-189.478,-3.0994,-843.434,863.3134638398964,864.4607747725514,1727.7742386124478
1571,1,183.14,-16.704,-842.02,-189.545,-3.04069,-844.098,861.8682983008482,865.1231047802827,1726.991403081131
1571,2,183.072,-16.3043,-843.035,-189.505,-3.04769,-843.775,862.8378750422874,864.7992160405421,1727.6370910828296
1571,3,183.062,-16.3825,-843.119,-189.203,-2.61042,-843.386,862.919306952423,864.3520894274371,1727.27139637986
1571,4,183.06,-16.384,-842.693,-189.011,-2.36709,-842.722,862.5026906073975,863.6614675438914,1726.164158151289
1571,5,183.443,-15.8582,-842.712,-189.028,-2.08736,-843.089,862.5927959937063,864.0225713352457,1726.615367328952
1571,6,182.759,-15.5281,-842.773,-188.68,-1.99904,-843.547,862.501190433735,864.3932437090897,1726.8944341428246
1571,7,182.711,-15.539,-842.36,-188.552,-1.84288,-842.779,862.0876635482032,863.6154791061208,1725.703142654324
1571,8,182.397,-15.1014,-843.442,-188.166,-1.64699,-842.418,863.07075333078,863.1785695069475,1726.2493228377275
