file_name,participant_id,t_ecc,t_con,t_total,F_turning,F_con,F_mean_con,tpF,tpP,tpV,V_mean_ecc,P_peak_ecc,V_peak_ecc,P_mean_con,V_mean_con,P_peak_con,V_peak_con,dip_m,lD_m,hor_m
03_bounce70b1,03,1,1.16,2.2,3409.15,3402.39,1983.77,0,0.997,1.008,0.71,2280.85,0.99,1213.98,0.61,2304.72,0.99,0.706,0.713,0.008
03_bounce70b2,03,1.03,0.98,2.05,3219.43,3478.93,2000.57,0,0.826,0.847,0.67,1944.05,0.86,1543.23,0.75,4061.05,1.4,0.686,0.742,0.013
03_bounce70b3,03,1.03,0.97,2.04,3141.55,3131.67,1989.72,0,0.81,0.842,0.65,1789.28,0.82,1477.66,0.73,3450.77,1.32,0.669,0.712,0.012
03_bounce70nb1,03,1.34,1.1,2.48,2482.57,2797.69,1996.26,0.932,0.943,0.964,0.5,1479.66,0.71,1354.04,0.66,3768.96,1.4,0.665,0.717,0.018
03_bounce70nb2,03,1.3,1.05,2.39,2747.86,3020.45,1990.93,0.87,0.88,0.913,0.51,1294.35,0.62,1426.2,0.69,3937.73,1.44,0.656,0.72,0.016
03_bounce70nb3,03,1.19,1.05,2.27,2753.22,2954.63,2001.81,0.883,0.883,0.916,0.54,1401.25,0.67,1375.22,0.68,3828.4,1.38,0.634,0.71,0.007
03_bounce80b1,03,1.12,1.23,2.37,3185.69,3336.89,2152.54,0,1.076,1.108,0.63,1956.61,0.83,1267.77,0.59,3255.09,1.17,0.694,0.728,0.027
03_bounce80b2,03,1.08,1.22,2.35,3250.92,3238.78,2128.73,0,1.05,1.082,0.64,1854.57,0.79,1268.47,0.59,3349.76,1.23,0.687,0.719,0.01
03_bounce80b3,03,1.06,1.28,2.38,3240.48,3314.82,2127.24,0.012,1.104,1.146,0.65,1854.44,0.82,1208.06,0.56,3269.38,1.2,0.682,0.716,0.022
03_bounce80nb1,03,1.11,1.27,2.43,2830.1,3141.03,2136.06,1.065,1.108,1.14,0.6,1829.23,0.8,1199.93,0.55,3489.66,1.25,0.659,0.7,0.008
03_bounce80nb2,03,1.19,1.32,2.55,2867.8,3071.82,2143.8,1.097,1.161,1.193,0.54,1558.08,0.7,1133.02,0.52,3379.97,1.24,0.637,0.684,0.012
03_bounce80nb3,03,1.23,1.17,2.43,2930.2,3090.4,2143.03,0.973,1.006,1.027,0.53,1561.68,0.7,1316.15,0.61,3636.4,1.27,0.648,0.711,0.012
03_slowb1,03,1.36,1.17,2.58,3060.16,3044.51,1988.44,0,0.97,1.03,0.51,1494.18,0.69,1206.61,0.61,2717.41,1.12,0.695,0.721,0.029
03_slowb2,03,1.17,1.09,2.31,3175.78,3195.15,1988.45,0,0.908,0.948,0.58,1921.2,0.86,1263.88,0.63,3016.4,1.18,0.684,0.701,0.038
03_slowb3,03,1.05,1.07,2.14,3134.29,3173.57,1986.34,0,0.868,0.928,0.65,1829.38,0.85,1347.79,0.67,3180.83,1.28,0.692,0.732,0.037
03_slownb1,03,1.46,1.22,2.71,2511.82,2892.18,1966.79,0.973,1.013,1.073,0.45,1183.4,0.59,1173.59,0.58,3159.5,1.29,0.661,0.718,0.032
03_slownb2,03,1.97,1.23,3.24,2513.92,2949.33,1971.2,1.01,1.01,1.07,0.35,857.22,0.43,1184.43,0.59,3319.05,1.3,0.688,0.736,0.033
03_slownb3,03,2.23,1.23,3.49,2516.34,2793.54,1976.87,0.991,1.011,1.072,0.29,806.19,0.4,1097.28,0.55,2786.95,1.15,0.658,0.693,0.055
03_fastb1,03,0.97,1.05,2.06,3201.68,3135.92,1965.72,0,0.847,0.887,0.71,1968.36,0.93,1394.47,0.7,3313.26,1.26,0.696,0.742,0.044
03_fastb2,03,0.89,1.09,2.02,3293.78,3230.44,1977.87,0,0.888,0.928,0.77,2373.65,1.05,1312.87,0.66,3192.51,1.23,0.695,0.729,0.036
03_fastb3,03,0.95,1.05,2.04,3212.82,3101.17,1967.43,0,0.847,0.887,0.71,1903.44,0.89,1358.42,0.68,3114.92,1.23,0.68,0.724,0.031
03_fastnb1,03,1.14,1.2,2.39,2444.48,2923.61,1981.12,0.973,0.994,1.054,0.59,2007.84,0.92,1189.14,0.59,3296.76,1.28,0.673,0.714,0.075
03_fastnb2,03,0.99,1.11,2.15,2649.5,2843.58,2004.38,0.889,0.909,0.969,0.67,2384.44,1.09,1243.26,0.62,3223.35,1.28,0.67,0.701,0.025
03_fastnb3,03,1.03,1.11,2.19,2675.91,2882.44,2000.22,0.888,0.929,0.969,0.63,1953.59,0.9,1258.07,0.63,3128.29,1.28,0.654,0.708,0.044
14_bounce70b1,14,0.95,1.3,2.28,2357.37,2324.64,1704.52,0,0.727,0.747,0.63,1606.53,0.84,786.56,0.46,1431.16,0.79,0.606,0.609,0.074
14_bounce70b2,14,0.97,1.28,2.28,2414.26,2410.55,1700.5,0,1.011,1.072,0.57,1451.35,0.81,775.98,0.46,1226.56,0.7,0.563,0.602,0.121
14_bounce70b3,14,0.85,0.89,1.77,2464.88,2390.46,1715.06,0,0.647,0.687,0.63,1733.53,0.93,1049.53,0.62,1607.43,0.88,0.553,0.56,0.039
14_bounce70b4,14,0.81,0.89,1.73,2417.53,2467.36,1706.87,0,0.626,0.666,0.65,1663.21,0.93,1035.44,0.61,1556.52,0.85,0.538,0.552,0.028
